,timestamp,volume,close,open,high,low,RSI,RSI_Gaizy,Range_Filter,RF_Signal,RF_Color,IB_High,IB_Low,IB_Signal,RSI_Signal,Entry_Signal
0,2025-06-14 19:18:00,1.86277,104984.5475,104982.58,0.0,0.0,,none,,,,,,,,
1,2025-06-14 19:19:00,2.08654,104972.24,104983.56375,104983.56375,104961.33,,none,,,,,,,,
2,2025-06-14 19:20:00,1.13242,104973.38,104977.90187500001,104985.12,104966.21,,none,,,,,,,,
3,2025-06-14 19:21:00,3.82426,104967.8225,104975.64093750001,104975.91,104958.34,,none,,,,,,,,
4,2025-06-14 19:22:00,0.93258,104967.47249999999,104971.73171875,104971.73171875,104964.11,,none,,,,,,,,
5,2025-06-14 19:23:00,1.30919,104960.16749999998,104969.602109375,104969.602109375,104956.22,,none,,,,,,,,
6,2025-06-14 19:24:00,16.25335,104934.74,104964.88480468749,104964.88480468749,104899.99,,none,,,,,,,,
7,2025-06-14 19:25:00,4.93165,104917.245,104949.81240234376,104949.81240234376,104902.89,,none,,,,104949.81240234376,104902.89,,,
8,2025-06-14 19:26:00,2.5427,104919.5725,104933.52870117188,104933.52870117188,104913.06,,none,,,,104933.52870117188,104913.06,,,
9,2025-06-14 19:27:00,2.73592,104910.41500000001,104926.55060058594,104926.55060058594,104890.44,,none,,,,,,sell,,
10,2025-06-14 19:28:00,1.7227,104907.83499999999,104918.48280029297,104919.67,104898.63,,none,,,,104919.67,104898.63,,,
11,2025-06-14 19:29:00,0.6456,104914.4125,104913.15890014649,104914.42,104913.15890014649,,none,,,,104914.42,104913.15890014649,,,
12,2025-06-14 19:30:00,0.86561,104913.275,104913.78570007325,104914.42,104912.13,,none,,,,,,sell,,
13,2025-06-14 19:31:00,4.85211,104942.18,104913.53035003663,104981.1,104912.13,32.38613923129827,others,,,,,,,,
14,2025-06-14 19:32:00,1.9007,104960.0675,104927.85517501831,104965.86,104927.85517501831,41.14038579856379,others,,,,104965.86,104927.85517501831,,,
15,2025-06-14 19:33:00,3.13012,104932.375,104943.96133750916,104965.86,104898.89,37.01804090139645,others,,,,,,sell,,
16,2025-06-14 19:34:00,1.07521,104925.6025,104938.16816875458,104955.89,104898.89,34.991911291211295,others,,,,104955.89,104898.89,,,
17,2025-06-14 19:35:00,3.14795,104933.18,104931.8853343773,104948.75,104917.61,39.25430773764556,others,,,,104948.75,104917.61,,,
18,2025-06-14 19:36:00,2.09473,104926.345,104932.53266718864,104944.0,104916.51,37.73613036931629,others,,,,,,sell,,
19,2025-06-14 19:37:00,1.12932,104928.5025,104929.43883359432,104934.69,104917.37,40.25872146681425,others,104928.5025,,,104934.69,104917.37,,,
20,2025-06-14 19:38:00,2.27576,104943.3475,104928.97066679716,104952.01,104928.97066679716,52.832392767237124,others,104932.31174076078,buy,green,,,buy,,
21,2025-06-14 19:39:00,3.3619,104968.50249999999,104936.15908339858,104987.7,104936.15908339858,66.05735945992001,others,104957.61458907204,buy,green,,,,,
22,2025-06-14 19:40:00,2.31243,104986.715,104952.33079169929,104991.14,104952.33079169929,69.12973488895187,others,104975.16411719809,buy,green,,,,,
23,2025-06-14 19:41:00,5.35514,104999.4725,104969.52289584964,105015.63,104969.52289584964,74.86354816644108,red,104986.40372813313,buy,green,,,,sell,
24,2025-06-14 19:42:00,5.61966,104995.31749999999,104984.49769792482,105012.36,104969.17,74.21091231128234,red,104986.40372813313,,green,,,,sell,
25,2025-06-14 19:43:00,5.3238,104988.8425,104989.9075989624,105015.63,104970.0,70.61030653780635,red,104986.40372813313,,green,,,,sell,
26,2025-06-14 19:44:00,1.76762,104970.005,104989.3750494812,104989.3750494812,104970.0,64.3066098403668,others,104985.30658045996,sell,red,104989.3750494812,104970.0,,,
27,2025-06-14 19:45:00,6.70086,104942.63750000001,104979.6900247406,104979.6900247406,104915.27,50.11627759210548,others,104957.61122793274,sell,red,,,sell,,
28,2025-06-14 19:46:00,2.13599,104932.29000000001,104961.1637623703,104961.1637623703,104915.27,42.658738024447565,others,104947.0406072656,sell,red,104961.1637623703,104915.27,,,
29,2025-06-14 19:47:00,5.55326,104924.0675,104946.72688118515,104946.72688118515,104892.35,47.552550561964615,others,104938.45852981802,sell,red,,,sell,,
