company,title,description,url,publishedAt,source,label,score,prob_negative,prob_neutral,prob_positive
Bitcoin,"Pavel Durov Recently Revealed That Bitcoin, Not Telegram, 'Funded' His Lifestyle And Helped Him Stay 'Afloat': 'I Believe In This Thing'","Telegram founder Pavel Durov has amassed a multibillion-dollar fortune, but few know it was largely made possible by his Bitcoin (CRYPTO: BTC) investments.
The Early Believer
During a podcast with Lex Fridman that aired Oct. 1, Durov shared his early investme…",https://biztoc.com/x/3184e3411cb6db6a,2025-10-12T12:50:22Z,Biztoc.com,negative,0.953063428401947,0.953063428401947,0.04684055596590042,9.597187454346567e-05
Bitcoin,A blip in ‘Uptober’: crypto’s October reckoning beyond the $20B washout,"There are moments when crypto’s fiercely optimistic traders are forced to reckon with markets’ unwritten rules. October 10 2025 delivered one of those reality checks. A day when leverage was punished, liquidity vanished, and even seasoned participants found t…",https://cryptoslate.com/a-blip-in-uptober-cryptos-october-reckoning-beyond-the-20b-washout/,2025-10-12T12:44:28Z,CryptoSlate,negative,0.8010315895080566,0.8010315895080566,0.0004901709035038948,0.19847825169563293
Bitcoin,Bitcoin eyes $114K liquidity grab as traders bet on BTC price rebound,"BTC price action stabilized at around $112,000 ahead of fresh volatility into the weekly close and Bitcoin futures market open.",https://cointelegraph.com/news/bitcoin-eyes-114k-liquidity-grab-as-traders-bet-on-btc-price-rebound,2025-10-12T12:30:53Z,Cointelegraph,neutral,0.9991232752799988,0.000873797049280256,0.9991232752799988,3.0257895105023636e-06
Bitcoin,Ethereum’s $10B leverage flush could fuel a monster rebound IF…,"he purge was brutal, the rebound faster. Traders now debate if $3,700 was ETH’s bottom.",https://ambcrypto.com/ethereums-10b-leverage-flush-could-fuel-a-monster-rebound-if/,2025-10-12T12:00:42Z,Ambcrypto.com,neutral,0.9960588216781616,0.002993903821334243,0.9960588216781616,0.0009472855017520487
Bitcoin,"Trader makes $88 million in 30 minutes, times Trump’s tariff move perfectly with Bitcoin short","Bitcoin Falls After Trump’s Tariff Announcement
Bitcoin fell 17 percent following the news, a drop worsened by short-term holders who bought nearly 500 BTC at a record $122,000, only to be caught in the plunge, as per a AMB Crypto report.Whales Placed Massive…",https://biztoc.com/x/966f098b051fce82,2025-10-12T11:44:46Z,Biztoc.com,positive,0.9996961355209351,0.000251329765887931,5.2555631555151194e-05,0.9996961355209351
Bitcoin,Serious BlackRock ETF Warning Issued After ‘Extreme’ $500 Billion Bitcoin And Crypto Price ‘Flash Crash’,Traders are bracing for further declines as the bitcoin price crash suddenly accelerates amid uncertainty over U.S. president Donald Trump’s fresh China tariffs...,https://www.forbes.com/sites/digital-assets/2025/10/12/trump-surprise-triggers-huge-crypto-flash-crash-as-traders-brace-for-bitcoin-ethereum-xrp-bnb-and-solana-price-wipeout/,2025-10-12T11:02:47Z,Forbes,positive,0.9960392713546753,0.0015674828318879008,0.002393285045400262,0.9960392713546753
Bitcoin,Bitcoin Profit-Taking Hits $2.25 Billion Following Market Crash — What Could This Mean?,"As an aftermath of the October 10 market crash, where Bitcoin’s price reached levels as low as $101,500, the market is exhibiting a recognizable bearish on-chain structure. While the selling momentum seems to be slowing down, giving a sliver of hope to potent…",http://www.newsbtc.com/news/bitcoin/bitcoin-profit-taking-hits-2-25-billion-following-market-crash/,2025-10-12T11:00:45Z,newsBTC,positive,0.9996681213378906,9.066763595910743e-06,0.0003228478890378028,0.9996681213378906
Bitcoin,Bitcoin Tariff-Driven Market Crash May Not Be The Real Bottom — Analyst,"The October 10 tariff announcement by US President Donald Trump sent shockwaves across the cryptocurrency market, as Bitcoin (BTC) prices crashed to around $102,000 for the first time since August. Recording about $800 billion in market value loss and a $19.2…",https://bitcoinist.com/bitcoin-tariff-crash-not-be-the-real-bottom-analyst/,2025-10-12T11:00:01Z,Bitcoinist,positive,0.9994029998779297,0.000577747356146574,1.9225917640142143e-05,0.9994029998779297
Bitcoin,"Bitcoin retests golden cross, a break above could trigger major rally: Analyst","Bitcoin is retesting the golden cross, a bullish pattern that preceded past parabolic rallies, with analysts saying a breakout above $110,000 could trigger another move.",https://cointelegraph.com/news/bitcoin-retests-golden-cross-major-rally-analyst,2025-10-12T10:43:26Z,Cointelegraph,neutral,0.9935872554779053,0.005016523879021406,0.9935872554779053,0.0013961995719000697
Bitcoin,Donald Trump Once Said The US Could Pay Off Its $37 Trillion Debt Burden With Bitcoin—But Could It Really?,"President Donald Trump's past remarks about Bitcoin's potential to ""save America"" deserve scrutiny: what it would actually take for the cryptocurrency to cover the $37 trillion U.S. national debt?
Bitcoin Would Need $1.8 Million To Match U.S. Debt
Trump has p…",https://biztoc.com/x/5239788964b63fd6,2025-10-12T10:26:49Z,Biztoc.com,negative,0.9962005019187927,0.9962005019187927,1.9501225324347615e-05,0.0037800001446157694
